Line,Product Family,Base Polymer,Base Type,Additional Treatment,Product Group,Color Group,Width Material Attri,Thickness Material A,Uptime,Rate,Yield,Quantity Good,Run Time Hours,Net Quantity Produced,Downtime,Sales Quantity in KG,Net Sales Quantity in KG,Gross Sales,Freight Revenue Subtotal,Total Gross Sales Revenue,Sales Discounts,Term (Cash) Discounts,Claims (Returns),Bonus (Rebates),Net Sales I,Sales Price net per KG,Commissions Expense primary,Commissions Expense secondary,Direct Sales Costs,Net Sales II,Material Costs,Subcontracting,Added Value,Packing Material (pallets only),Packaging Overhead Variable,Energy & Supplies Variable,Contribution Margin I - C,Personnel Direct,Personnel Indirect,Maintenance Fix,Other Fixed Overhead,Corporate Allocated Costs Prod,Contribution Margin II - C,Research & Development,Selling exp. (Condition),"General, & Administrative (Condition)",EBITDA before Allocations,EBITDA (€),Total Depreciation,EBIT,Product,EBITDA (€) Rank,EBITDA (€) / Hr
K18,Dec. Surfaces/others,PVC,153/07,ZZZ,2D Coil Coating Metal Uni,WH,1235,120,0.95,761.06,0.91,922745.2,1325.985555555555,1009155.2,76.77972222222223,344237.5,342638.5,1391174.41,0.0,1391174.41,0.0,0.0,-6451.14,-34618.06,1350105.21,3.9403196371686193,0.0,0.0,-34635.85,1315469.36,562317.96,0.0,787787.25,0.0,3502.14,40709.03,708940.23,71112.85,95541.63,34546.17,38421.56,12754.19,456563.83,18153.57,50427.72,21549.21,366433.33,366433.33,8399.5,358033.83,PVC-153/07-ZZZ-WH-1235-120,0.0,813.9124766475454
K17,Tape,PVC,240/15,ZZZ,Tape,TL,1230,38,0.9,1012.58,0.95,8612644.900000002,8911.158055555552,9023230.900000002,989.1644444444447,1271905.2,1269724.2,3140295.38,0.0,3140295.38,0.0,-15041.61,-5467.65,0.0,3119786.12,2.457058091828131,0.0,0.0,-46500.44,3073285.68,2003339.04,0.0,1116447.08,0.0,5236.94,103838.9,960870.8,122900.05,95708.03,72025.47,60304.23,23674.09,586258.93,46979.78,109424.83,79852.94,350001.38,350001.38,36612.79,313388.59,PVC-240/15-ZZZ-TL-1230-38,1.0,279.11919561775704
K10,Cards Core,PVC,230/18,H140,Cards Core,OP,604,160,0.98,659.44,0.71,129373.97,278.2105555555556,183463.974,4.526388888888889,91093.0,90593.0,915402.1,0.0,915402.1,0.0,0.0,-5300.0,0.0,910102.1,10.046053227070523,0.0,0.0,-9795.22,900306.88,281528.82,0.0,628573.28,2682.43,769.55,34039.43,581286.65,70875.75,88984.43,23731.39,28738.21,4166.15,364790.72,3352.0,15815.74,5697.37,339925.61,339925.61,24903.45,315022.16,PVC-230/18-H140-OP-604-160,2.0,2474.369369138896
E28,PSL,PO,E88F10,ZZZ,Non-Shrink Facestock,GC,2028,50,0.66,259.15,0.84,393942.12599999993,1810.0330555555556,469067.902,916.5130555555556,441206.3,439880.3,1179311.84,10710.0,1190021.84,0.0,0.0,-17334.73,0.0,1172687.11,2.665923229569499,0.0,0.0,-28623.07,1144064.04,679655.53,0.0,493031.58,7108.83,1307.18,42691.2,413301.3,42170.19,29968.55,10353.97,12471.09,18665.38,299672.12,0.0,0.0,26466.16,273205.96,273205.96,50655.32,222550.64,PP-E88F10-ZZZ-GC-2028-50,3.0,160.95588853149368
K10,Construction,PVC,203/31,ZZZ,Construction,GY,1400,350,1.0,1556.5,0.92,291661.64800000004,202.8336111111111,315711.118,0.0,291276.0,291276.0,904950.9,0.0,904950.9,0.0,0.0,0.0,-39823.65,865127.25,2.9701288468668885,0.0,0.0,-61797.99,803329.26,334998.78,0.0,530128.47,2673.58,694.16,15119.54,449843.2,65069.16,42627.09,14338.36,19157.06,4605.04,304046.49,10777.4,25102.0,18318.5,249848.59,249848.59,10324.6,239523.99,PVC-203/31-ZZZ-GY-1400-350,4.0,1335.1231489549432
K18,Dec. Surfaces/others,PVC,153/07,ZZZ,2D Coil Coating Metal Uni,WH,1265,120,0.95,761.06,0.91,922745.2,1325.985555555555,1009155.2,76.77972222222223,225675.4,224848.4,923649.51,0.0,923649.51,0.0,0.0,-3336.52,-23007.87,897305.12,3.990711608354785,0.0,0.0,-23101.53,874203.59,372379.46,0.0,524925.66,0.0,2404.8,27284.78,472134.55,50646.65,60212.16,23260.33,25473.15,8515.9,304026.36,11913.03,33092.56,14141.44,244879.33,244879.33,5529.61,239349.72,PVC-153/07-ZZZ-WH-1265-120,5.0,828.8600803465802
E28,PSL,PO,E88F30,ZZZ,Non-Shrink Facestock,GC,2028,63,0.61,346.57,0.85,340616.161,1152.1222222222225,399292.8399999999,728.8797222222223,361251.5,356374.91299999994,956384.18,0.0,956384.18,0.0,0.0,-14168.1,0.0,942216.08,2.643890031619594,0.0,0.0,-20568.36,921647.72,555652.53,0.0,386563.55,3743.23,446.21,24133.33,337672.42,24946.29,20690.21,6825.21,7551.02,14029.06,263630.63,0.0,0.0,21140.35,242490.28,242490.28,33211.76,209278.52,PP-E88F30-ZZZ-GC-2028-63,6.0,235.81866532675943
K17,Tape,PVC,240/13,ZZZ,Tape,TL,1041,45,0.96,748.66,0.88,311604.80000000005,472.2697222222222,353570.8,18.73611111111111,63635.11900000001,63635.11900000001,595449.34,0.0,595449.34,0.0,0.0,0.0,0.0,595449.34,9.357244071469404,0.0,0.0,-31563.37,563885.97,176388.5,0.0,419060.84,3637.83,1277.71,38749.2,343832.73,42753.79,44596.2,23329.6,17481.78,4133.73,211537.63,2354.49,5484.08,4002.01,199697.05,199697.05,28911.44,170785.61,PVC-240/13-ZZZ-TL-1041-45,7.0,2349.41327685739
E27,Shrink Sleeve,PET,G10F12,T45,Shrink Sleeve,GC,2026,45,0.62,1414.01,0.99,881368.022,626.9319444444445,886486.022,391.60555555555567,142829.2,129950.2,612834.64,0.0,612834.64,0.0,0.0,-66263.27,0.0,546571.37,4.206006377827814,0.0,0.0,-8284.73,538286.64,264882.43,0.0,281688.94,12.25,417.74,8659.34,264314.88,18190.77,13525.19,1034.75,2583.54,2711.22,226269.41,6484.53,16952.03,8172.57,194660.28,194660.28,13663.07,180997.21,PETG-G10F12-T45-GC-2026-45,8.0,2118.131272770646
K18,Cooling Tower,PVC,459/01,ZZZ,Cooling Tower,BK,1386,330,0.98,1821.12,0.97,1479260.2959999999,838.81,1527577.296,19.688888888888886,425217.2,425217.2,643361.87,0.0,643361.87,0.0,0.0,0.0,0.0,643361.87,1.513019393382958,0.0,0.0,-30606.15,612755.72,188034.18,0.0,455327.69,5802.44,1067.67,14438.13,403413.3,61675.76,41625.42,17571.02,18962.03,4689.0,258890.07,9933.95,36711.3,26790.12,185454.7,185454.7,7665.56,177789.14,PVC-459/01-ZZZ-BK-1386-330,9.0,794.2652913946097
E28,PSL,PO,E88F20,ZZZ,Non-Shrink Facestock,WH,2028,50,0.83,397.51,0.7,218215.099,780.7511111111111,310354.65,162.1013888888889,241829.5,237615.5,745980.97,0.0,745980.97,0.0,0.0,-13555.14,0.0,732425.83,3.0823992121726067,0.0,0.0,-12913.68,719512.15,441611.88,0.0,290813.95,2415.11,480.05,20436.87,254568.24,20705.65,15807.39,5352.92,6172.34,10308.57,196221.37,0.0,0.0,14629.24,181592.13,181592.13,26063.89,155528.24,PP-E88F20-ZZZ-WH-2028-50,10.0,303.7877899223746
K17,Tape,PVC,240/13,ZZZ,Tape,TL,1270,45,0.96,748.66,0.88,311604.80000000005,472.2697222222222,353570.8,18.73611111111111,48623.584,48623.584,443092.51,0.0,443092.51,0.0,0.0,0.0,0.0,443092.51,9.112707734584106,0.0,0.0,-28645.58,414446.93,128252.36,0.0,314840.15,2875.33,705.1,24481.18,258132.96,26902.91,28245.71,14758.01,11044.73,2608.37,174573.23,1799.08,4190.39,3057.91,165525.85,165525.85,18263.34,147262.51,PVC-240/13-ZZZ-TL-1270-45,11.0,2548.610626090417
K40,Dec. Surfaces/others,PVC,225/05,ZZZ,2D Drawer Wrapping Uni,OP,1640,100,0.98,1036.99,0.94,3752621.6999999997,3847.1911111111135,3989489.2999999984,59.59333333333332,534994.0,534994.0,1484472.99,0.0,1484472.99,0.0,-52995.69,0.0,-89068.45,1342408.85,2.5092035611614336,0.0,0.0,-30102.95,1312305.9,750453.37,0.0,591955.48,0.0,4278.27,39825.34,517748.92,61966.34,68282.47,35272.32,37584.66,16695.17,297947.96,28344.01,78735.05,33645.83,157223.07,157223.07,20770.24,136452.83,PVC-225/05-ZZZ-OP-1640-100,12.0,304.7487473865127
