Base Cake,Truffle Type,Primary Flavor,Secondary Flavor,Color Group,Width,Height,Net Sales Quantity in KG,EBITDA,Product
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,340,50,8244.5,21833.99,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-340-50
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,1340,25,1857.0,21589.48,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-1340-25
Tiramisu,Chocolate Outer,Chocolate,Pear,Amethyst,310,140,17365.0,19050.69,Tiramisu-Chocolate Outer-Chocolate-Pear-Amethyst-310-140
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,449,50,14309.0,18573.01,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-449-50
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Amethyst,640,80,25584.5,14790.9,Tiramisu-Chocolate Outer-Doughnut-Rock and Rye-Amethyst-640-80
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Teal,1020,80,4520.2,12465.11,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Teal-1020-80
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,340,40,4747.5,12433.46,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-340-40
Tiramisu,Chocolate Outer,Chocolate,Pear,Amethyst,484,100,14955.0,12313.48,Tiramisu-Chocolate Outer-Chocolate-Pear-Amethyst-484-100
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,510,80,10598.8,11810.73,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-510-80
Tiramisu,Chocolate Outer,Chocolate,Pear,Amethyst,510,80,62355.8,11594.46,Tiramisu-Chocolate Outer-Chocolate-Pear-Amethyst-510-80
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,466,80,37517.4,10471.78,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-466-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,495,80,14072.6,10437.4,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-495-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,450,100,8635.8,9612.0,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-450-100
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,602,60,20289.8,9315.18,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-602-60
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,300,50,3337.7,8899.21,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-300-50
Tiramisu,Chocolate Outer,Chocolate,Pear,Amethyst,305,80,8496.8,8864.64,Tiramisu-Chocolate Outer-Chocolate-Pear-Amethyst-305-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,311,80,8417.0,8331.22,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-311-80
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,1100,50,3121.5,8191.42,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-1100-50
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,485,100,24856.2,7589.78,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-485-100
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,475,80,10434.0,7185.62,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-475-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,484,100,11566.7,7090.1,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-484-100
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,520,100,6710.5,6670.22,Tiramisu-Chocolate Outer-Doughnut-Pear-Teal-520-100
Tiramisu,Chocolate Outer,Chocolate,Egg Nog,Amethyst,475,80,4750.0,6642.41,Tiramisu-Chocolate Outer-Chocolate-Egg Nog-Amethyst-475-80
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,340,80,10089.1,6405.24,Tiramisu-Chocolate Outer-Doughnut-Pear-Amethyst-340-80
Tiramisu,Chocolate Outer,Doughnut,Ginger Beer,Amethyst,618,80,14036.5,6199.82,Tiramisu-Chocolate Outer-Doughnut-Ginger Beer-Amethyst-618-80
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,1150,40,1148.0,6122.14,Tiramisu-Chocolate Outer-Doughnut-Egg Nog-Amethyst-1150-40
