Base Cake,Truffle Type,Primary Flavor,Secondary Flavor,Color Group,Customer,Date,KG,EBITDA/KG
Butter,Candy Outer,Butter Pecan,Toffee,Taupe,Slugworth,1/2020,53770.34259259259,0.500423593770022
Butter,Candy Outer,Ginger Lime,Banana,Amethyst,Slugworth,1/2020,466477.57812500006,0.22039545108903869
Butter,Candy Outer,Ginger Lime,Banana,Burgundy,Perk-a-Cola,1/2020,80801.72807017544,0.17101386876147712
Butter,Candy Outer,Ginger Lime,Banana,White,Fickelgruber,1/2020,18046.11111111111,0.23302487225653648
Butter,Candy Outer,Ginger Lime,Rum,Amethyst,Fickelgruber,1/2020,19147.454268292684,0.48068937135365797
Butter,Candy Outer,Ginger Lime,Rum,Burgundy,Fickelgruber,1/2020,445.5483870967742,0.16493454617416956
Butter,Candy Outer,Ginger Lime,Tutti Frutti,Amethyst,Slugworth,1/2020,19215.140350877195,0.20321325570890075
Butter,Candy Outer,Ginger Lime,Vanilla,Amethyst,Zebrabar,1/2020,157100.37650602407,0.1786814003461834
Butter,Candy Outer,Margarita,Mixed Berry,Amethyst,Slugworth,1/2020,94285.85714285713,0.12505072618933044
Butter,Candy Outer,Pear,Whipped Cream,White,Zebrabar,1/2020,1460.5975609756094,0.2170219505941109
Butter,Candy Outer,Pink Lemonade,Banana,Amethyst,Dandy's Candies,1/2020,4258.339887640449,0.07959551849073046
Butter,Candy Outer,Raspberry Ginger Ale,Banana,Amethyst,Slugworth,1/2020,22331.935185185186,0.3250422874582172
Butter,Candy Outer,Raspberry Ginger Ale,Vanilla,Amethyst,Slugworth,1/2020,64983.421383647816,0.21755121541850148
Butter,Candy Outer,Raspberry Ginger Ale,Vanilla,Burgundy,Slugworth,1/2020,140.66666666666666,0.24815229916288437
Butter,Candy Outer,Sassafras,Apricot,Amethyst,Fickelgruber,1/2020,149.57142857142858,-0.012050309355722572
Butter,Candy Outer,Spice,Passion Fruit,Amethyst,Fickelgruber,1/2020,10312.932515337425,0.14719056706987757
Butter,Candy Outer,Spice,Passion Fruit,White,Zebrabar,1/2020,2252.261437908497,0.3844889482404652
Butter,Candy Outer,Spice,Whipped Cream,Amethyst,Zebrabar,1/2020,104499.05128205131,0.20543876407383277
Butter,Candy Outer,Spice,Whipped Cream,Burgundy,Slugworth,1/2020,56.07911392405064,0.13219025550264862
Butter,Candy Outer,Spice,Whipped Cream,White,Zebrabar,1/2020,6928.3804627249365,0.32301914412321775
Butter,Candy Outer,Wild Cherry Cream,Apricot,Amethyst,Fickelgruber,1/2020,207.39062500000003,-0.009733614769620563
Butter,Chocolate Outer,Cream Soda,Peppermint,Amethyst,Zebrabar,1/2020,168764.57142857145,0.19839769200132382
Butter,Chocolate Outer,Cream Soda,Peppermint,Burgundy,Dandy's Candies,1/2020,5698.392857142857,0.16706790161088894
Butter,Chocolate Outer,Horchata,Dill Pickle,Amethyst,Fickelgruber,1/2020,141456.76315789475,-0.026006369042502885
Butter,Chocolate Outer,Kettle Corn,Black Cherry,Amethyst,Dandy's Candies,1/2020,46247.0,0.13036532538406748
Butter,Chocolate Outer,Kettle Corn,Black Cherry,Black,Zebrabar,1/2020,109.66666666666669,0.23633774897713722
Butter,Chocolate Outer,Kettle Corn,Black Cherry,Burgundy,Perk-a-Cola,1/2020,808.2857142857142,-0.09705567796265986
Butter,Chocolate Outer,Kettle Corn,Black Cherry,Opal,Slugworth,1/2020,9076.930817610064,0.15905181901056015
Butter,Chocolate Outer,Kettle Corn,Black Cherry,White,Fickelgruber,1/2020,3997.320261437909,-0.08765722588205932
Butter,Chocolate Outer,Lemon Bar,Wild Cherry Cream,Amethyst,Dandy's Candies,1/2020,71138.51966292135,-0.033219984319262624
Butter,Chocolate Outer,Orange Pineapple	P,Papaya,Amethyst,Perk-a-Cola,1/2020,123382.32621951221,-0.050570445118187216
Butter,Chocolate Outer,Orange Pineapple	P,Papaya,Burgundy,Perk-a-Cola,1/2020,1604.1437908496732,-0.05564588060918027
Butter,Chocolate Outer,Plum,Black Cherry,Amethyst,Fickelgruber,1/2020,30221.5,-0.08862735638102953
Butter,Chocolate Outer,Plum,Black Cherry,Opal,Fickelgruber,1/2020,15244.632812500002,0.043226785720829664
Butter,Chocolate Outer,Plum,Black Cherry,White,Perk-a-Cola,1/2020,20527.75432525952,-0.18861557904829007
Butter,Chocolate Outer,Plum,Mango,Black,Slugworth,1/2020,6763.539187227868,0.4249392269848885
Butter,Jelly Filled,Orange,Cucumber,Amethyst,Slugworth,1/2020,42876.375,0.09351368472452068
Butter,Jelly Filled,Orange,Cucumber,Burgundy,Dandy's Candies,1/2020,29517.05442670537,-0.03436059501291077
Cheese,Chocolate Outer,Butter Toffee,Egg Nog,Citrine,Slugworth,1/2020,494.57142857142856,0.31024610854847107
Cheese,Chocolate Outer,Butter Toffee,Egg Nog,Rose,Perk-a-Cola,1/2020,26081.56401384083,0.7117468513054219
Cheese,Chocolate Outer,Butter Toffee,Egg Nog,Slate,Perk-a-Cola,1/2020,916.3717948717947,0.5075180582071943
Cheese,Chocolate Outer,Butter Toffee,Egg Nog,Teal,Zebrabar,1/2020,4130.2946298984025,0.46142939440440045
Cheese,Chocolate Outer,Butter Toffee,Egg Nog,White,Perk-a-Cola,1/2020,2655.421052631579,0.4475621637257276
Cheese,Chocolate Outer,Lemon,Egg Nog,Rose,Slugworth,1/2020,1253403.0130624091,0.3403041143849488
Cheese,Chocolate Outer,Lemon,Egg Nog,Teal,Dandy's Candies,1/2020,895.9082278481012,0.10382401241705574
Chiffon,Chocolate Outer,Acai Berry,Egg Nog,Teal,Zebrabar,1/2020,3532.160377358491,0.1218583428836606
Chiffon,Chocolate Outer,Acai Berry,Egg Nog,White,Slugworth,1/2020,2694.0,-0.023127655203695474
Chiffon,Chocolate Outer,Apricot,Egg Nog,White,Dandy's Candies,1/2020,96.59546925566343,0.09184644431280684
Chiffon,Chocolate Outer,Birch Beer,Egg Nog,White,Slugworth,1/2020,343.1394601542417,0.2502890325125821
Chiffon,Chocolate Outer,Cherry Cream Spice,Egg Nog,White,Perk-a-Cola,1/2020,19364.70552147239,-0.059150123723035554
Chiffon,Chocolate Outer,Creme de Menthe,Egg Nog,White,Zebrabar,1/2020,59368.76777939042,0.12564208267864263
Chiffon,Chocolate Outer,Fruit Punch,Egg Nog,White,Perk-a-Cola,1/2020,3071.4691011235955,0.14625216169990252
Chiffon,Chocolate Outer,Ginger Ale,Egg Nog,Black,Zebrabar,1/2020,102.38709677419355,0.2728136936511132
Chiffon,Chocolate Outer,Ginger Ale,Egg Nog,White,Fickelgruber,1/2020,21939.111111111117,0.13800815150636506
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Black,Slugworth,1/2020,23583.6,0.1613459428447891
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Opal,Fickelgruber,1/2020,16205.047619047617,0.11366189442325986
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,White,Perk-a-Cola,1/2020,83347.75862068968,0.4132493357424456
Chiffon,Chocolate Outer,Grand Mariner,Pear,White,Slugworth,1/2020,1158.125,0.13950074139347765
Chiffon,Chocolate Outer,Grand Mariner,Rock and Rye,Opal,Slugworth,1/2020,16347.428571428569,0.12058333405072806
