Base Cake,Truffle Type,Primary Flavor,Secondary Flavor,Color Group,Customer,1/2020,2/2020,3/2020,4/2020,5/2020,6/2020,7/2020,8/2020,9/2020,10/2020,11/2020,12/2020
Butter,Candy Outer,Butter Pecan,Toffee,Taupe,Slugworth,53770.34259259259,40735.108024691355,40735.108024691355,40735.108024691355,53770.34259259259,40735.108024691355,40735.108024691355,40735.108024691355,53770.34259259259,40735.108024691355,40735.108024691355,40735.108024691355
Butter,Candy Outer,Ginger Lime,Banana,Amethyst,Slugworth,466477.57812500006,299024.0885416667,466477.57812500006,299024.0885416667,466477.57812500006,299024.0885416667,466477.57812500006,299024.0885416667,466477.57812500006,299024.0885416667,466477.57812500006,299024.0885416667
Butter,Candy Outer,Ginger Lime,Banana,Burgundy,Perk-a-Cola,80801.72807017544,51795.97953216374,51795.97953216374,51795.97953216374,80801.72807017544,51795.97953216374,51795.97953216374,51795.97953216374,80801.72807017544,51795.97953216374,51795.97953216374,51795.97953216374
Butter,Candy Outer,Ginger Lime,Banana,White,Fickelgruber,18046.11111111111,13671.296296296296,13671.296296296296,13671.296296296296,18046.11111111111,13671.296296296296,13671.296296296296,13671.296296296296,18046.11111111111,13671.296296296296,13671.296296296296,13671.296296296296
Butter,Candy Outer,Ginger Lime,Rum,Amethyst,Fickelgruber,19147.454268292684,12274.009146341463,12274.009146341463,12274.009146341463,12274.009146341463,12274.009146341463,19147.454268292684,12274.009146341463,12274.009146341463,12274.009146341463,12274.009146341463,12274.009146341463
Butter,Candy Outer,Ginger Lime,Rum,Burgundy,Fickelgruber,445.54838709677415,371.2903225806451,371.2903225806451,371.2903225806451,371.2903225806451,371.2903225806451,445.54838709677415,371.2903225806451,371.2903225806451,371.2903225806451,371.2903225806451,371.2903225806451
Butter,Candy Outer,Ginger Lime,Tutti Frutti,Amethyst,Slugworth,19215.140350877195,12317.397660818713,12317.397660818713,12317.397660818713,19215.140350877195,12317.397660818713,12317.397660818713,12317.397660818713,19215.140350877195,12317.397660818713,12317.397660818713,12317.397660818713
Butter,Candy Outer,Ginger Lime,Vanilla,Amethyst,Zebrabar,157100.37650602407,119015.43674698794,119015.43674698794,157100.37650602407,119015.43674698794,119015.43674698794,157100.37650602407,119015.43674698794,119015.43674698794,157100.37650602407,119015.43674698794,119015.43674698794
Butter,Candy Outer,Margarita,Mixed Berry,Amethyst,Slugworth,94285.85714285714,47142.92857142857,47142.92857142857,47142.92857142857,47142.92857142857,47142.92857142857,94285.85714285714,47142.92857142857,47142.92857142857,47142.92857142857,47142.92857142857,47142.92857142857
Butter,Candy Outer,Pear,Whipped Cream,White,Zebrabar,1460.5975609756097,936.280487804878,936.280487804878,936.280487804878,936.280487804878,936.280487804878,1460.5975609756097,936.280487804878,936.280487804878,936.280487804878,936.280487804878,936.280487804878
Butter,Candy Outer,Pink Lemonade,Banana,Amethyst,Dandy's Candies,4258.339887640449,2729.705056179775,2729.705056179775,4258.339887640449,2729.705056179775,2729.705056179775,4258.339887640449,2729.705056179775,2729.705056179775,4258.339887640449,2729.705056179775,2729.705056179775
Butter,Candy Outer,Raspberry Ginger Ale,Banana,Amethyst,Slugworth,22331.935185185186,16918.132716049382,16918.132716049382,16918.132716049382,22331.935185185186,16918.132716049382,16918.132716049382,16918.132716049382,22331.935185185186,16918.132716049382,16918.132716049382,16918.132716049382
Butter,Candy Outer,Raspberry Ginger Ale,Vanilla,Amethyst,Slugworth,64983.42138364781,58020.911949685535,64983.42138364781,58020.911949685535,64983.42138364781,58020.911949685535,64983.42138364781,58020.911949685535,64983.42138364781,58020.911949685535,64983.42138364781,58020.911949685535
Butter,Candy Outer,Raspberry Ginger Ale,Vanilla,Burgundy,Slugworth,140.66666666666666,117.22222222222223,117.22222222222223,117.22222222222223,140.66666666666666,117.22222222222223,117.22222222222223,117.22222222222223,140.66666666666666,117.22222222222223,117.22222222222223,117.22222222222223
Butter,Candy Outer,Sassafras,Apricot,Amethyst,Fickelgruber,149.57142857142858,74.78571428571429,74.78571428571429,74.78571428571429,74.78571428571429,74.78571428571429,149.57142857142858,74.78571428571429,74.78571428571429,74.78571428571429,74.78571428571429,74.78571428571429
Butter,Candy Outer,Spice,Passion Fruit,Amethyst,Fickelgruber,10312.932515337423,5456.578050443081,5456.578050443081,5456.578050443081,10312.932515337423,5456.578050443081,5456.578050443081,5456.578050443081,10312.932515337423,5456.578050443081,5456.578050443081,5456.578050443081
